breakfast,lunch,dinner,snack,nutrition_goal
Oatmeal (Jaulo),Paneer Curry,Vegetable Soup,Sprouts Salad,maintenance
Roti (Wheat Flatbread),Mixed Vegetable Curry,Saag (Leafy Green Curry),Sprouts Salad,muscle_gain
Idli,Mixed Vegetable Curry,Vegetable Soup,Popcorn,muscle_gain
Roti (Wheat Flatbread),Gundruk,Dal Bhat,Lapsi Candy (Hog Plum),muscle_gain
Milk Tea (Chiya),Mixed Vegetable Curry,Buff Choila,Protein Bar,weight_gain
Muesli,Gundruk,Curd Rice,Roasted Corn (Bilaune Makai),muscle_gain
Cereal (Corn Flakes),Momo (Steamed Dumpling),Dal Bhat,Apple (Syau),maintenance
Granola,Vegetable Biryani,Tofu Stir Fry,Roasted Corn (Bilaune Makai),weight_gain
Boiled Egg,Chicken Curry,Mutton Curry,Peanuts (Badaam),maintenance
Poha (Flattened Rice),Chapati with Sabzi,Mutton Curry,Lapsi Candy (Hog Plum),weight_loss
Bara (Black Lentil Pancake),Dal Bhat,Fish Curry (Macha Ko Jhol),Apple (Syau),muscle_gain
Oatmeal (Jaulo),Vegetable Biryani,Dal Bhat,Peanuts (Badaam),weight_gain
Sel Roti,Thukpa (Noodle Soup),Buff Choila,Chatpate,weight_loss
Poha (Flattened Rice),Vegetable Biryani,Vegetable Soup,Lapsi Candy (Hog Plum),muscle_gain
Scrambled Eggs,Khichdi,Curd Rice,Fruit Salad (Phalphul),maintenance
Bara (Black Lentil Pancake),Masoor Dal,Grilled Chicken Breast,Chatpate,maintenance
Chiura (Beaten Rice),Vegetable Biryani,Grilled Chicken Breast,Banana (Kera),weight_loss
Oatmeal (Jaulo),Aloo Tama (Potato Bamboo Curry),Vegetable Soup,Mixed Green Salad,weight_gain
Chiura (Beaten Rice),Vegetable Biryani,Grilled Chicken Breast,Sprouts Salad,weight_gain
Muesli,Aloo Tama (Potato Bamboo Curry),Dal Bhat,Mixed Green Salad,weight_gain
Scrambled Eggs,Paneer Curry,Fish Curry (Macha Ko Jhol),Mixed Green Salad,weight_loss
Idli,Paneer Curry,Tofu Stir Fry,Protein Bar,weight_loss
Granola,Momo (Steamed Dumpling),Roti (Wheat Flatbread),Yogurt (Dahi),maintenance
Idli,Dal Bhat,Fish Curry (Macha Ko Jhol),Roasted Corn (Bilaune Makai),muscle_gain
Oatmeal (Jaulo),Thukpa (Noodle Soup),Vegetable Soup,Banana (Kera),weight_gain
Roti (Wheat Flatbread),Chicken Curry,Roti (Wheat Flatbread),Fruit Salad (Phalphul),maintenance
Roti (Wheat Flatbread),Momo (Steamed Dumpling),Curd Rice,Sprouts Salad,weight_gain
Oatmeal (Jaulo),Gundruk,Tofu Stir Fry,Fruit Salad (Phalphul),weight_loss
Milk Tea (Chiya),Thukpa (Noodle Soup),Mutton Curry,Chatpate,maintenance
Chiura (Beaten Rice),Chapati with Sabzi,Grilled Chicken Breast,Sprouts Salad,weight_gain
Bara (Black Lentil Pancake),Mixed Vegetable Curry,Buff Choila,Fruit Salad (Phalphul),maintenance
Oatmeal (Jaulo),Vegetable Biryani,Dal Bhat,Sprouts Salad,weight_loss
Idli,Mixed Vegetable Curry,Chicken Soup,Roasted Corn (Bilaune Makai),maintenance
Granola,Khichdi,Roti (Wheat Flatbread),Roasted Corn (Bilaune Makai),maintenance
Bara (Black Lentil Pancake),Chapati with Sabzi,Brown Rice,Roasted Corn (Bilaune Makai),maintenance
Idli,Gundruk,Vegetable Soup,Lapsi Candy (Hog Plum),maintenance
Poha (Flattened Rice),Chicken Curry,Vegetable Soup,Yogurt (Dahi),maintenance
Roti (Wheat Flatbread),Vegetable Biryani,Chicken Soup,Mixed Green Salad,muscle_gain
Granola,Vegetable Biryani,Mutton Curry,Banana (Kera),maintenance
Chiura (Beaten Rice),Thukpa (Noodle Soup),Saag (Leafy Green Curry),Sprouts Salad,muscle_gain
Bara (Black Lentil Pancake),Paneer Curry,Grilled Chicken Breast,Banana (Kera),weight_loss
Muesli,Vegetable Biryani,Curd Rice,Peanuts (Badaam),weight_gain
Poha (Flattened Rice),Mixed Vegetable Curry,Curd Rice,Peanuts (Badaam),weight_loss
Granola,Mixed Vegetable Curry,Dal Bhat,Banana (Kera),muscle_gain
Scrambled Eggs,Mixed Vegetable Curry,Roti (Wheat Flatbread),Chatpate,maintenance
Cereal (Corn Flakes),Gundruk,Chicken Soup,Protein Bar,weight_loss
Sel Roti,Aloo Tama (Potato Bamboo Curry),Dal Bhat,Banana (Kera),weight_gain
Roti (Wheat Flatbread),Vegetable Biryani,Grilled Chicken Breast,Chatpate,muscle_gain
Chiura (Beaten Rice),Paneer Curry,Roti (Wheat Flatbread),Chatpate,maintenance
Muesli,Mixed Vegetable Curry,Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),muscle_gain
Scrambled Eggs,Masoor Dal,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),weight_gain
Sel Roti,Mixed Vegetable Curry,Brown Rice,Banana (Kera),maintenance
Milk Tea (Chiya),Chicken Curry,Tofu Stir Fry,Protein Bar,weight_loss
Boiled Egg,Paneer Curry,Curd Rice,Protein Bar,weight_loss
Milk Tea (Chiya),Dal Bhat,Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),maintenance
Cereal (Corn Flakes),Masoor Dal,Dal Bhat,Chatpate,weight_loss
Muesli,Masoor Dal,Mutton Curry,Roasted Corn (Bilaune Makai),weight_loss
Poha (Flattened Rice),Gundruk,Mutton Curry,Sprouts Salad,weight_gain
Boiled Egg,Thukpa (Noodle Soup),Tofu Stir Fry,Peanuts (Badaam),weight_gain
Roti (Wheat Flatbread),Gundruk,Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),maintenance
Roti (Wheat Flatbread),Chicken Curry,Fish Curry (Macha Ko Jhol),Protein Bar,muscle_gain
Chiura (Beaten Rice),Paneer Curry,Chicken Soup,Popcorn,muscle_gain
Sel Roti,Momo (Steamed Dumpling),Tofu Stir Fry,Popcorn,maintenance
Bara (Black Lentil Pancake),Dal Bhat,Brown Rice,Sprouts Salad,muscle_gain
Roti (Wheat Flatbread),Khichdi,Grilled Chicken Breast,Apple (Syau),muscle_gain
Sel Roti,Thukpa (Noodle Soup),Tofu Stir Fry,Lapsi Candy (Hog Plum),weight_gain
Idli,Vegetable Biryani,Dal Bhat,Apple (Syau),muscle_gain
Cereal (Corn Flakes),Chapati with Sabzi,Roti (Wheat Flatbread),Sprouts Salad,weight_gain
Idli,Paneer Curry,Brown Rice,Peanuts (Badaam),weight_gain
Boiled Egg,Khichdi,Tofu Stir Fry,Yogurt (Dahi),muscle_gain
Sel Roti,Vegetable Biryani,Buff Choila,Lapsi Candy (Hog Plum),maintenance
Chiura (Beaten Rice),Chicken Curry,Vegetable Soup,Mixed Green Salad,weight_gain
Sel Roti,Mixed Vegetable Curry,Tofu Stir Fry,Popcorn,weight_loss
Milk Tea (Chiya),Aloo Tama (Potato Bamboo Curry),Fish Curry (Macha Ko Jhol),Peanuts (Badaam),maintenance
Scrambled Eggs,Momo (Steamed Dumpling),Brown Rice,Popcorn,muscle_gain
Poha (Flattened Rice),Vegetable Biryani,Chicken Soup,Chatpate,muscle_gain
Scrambled Eggs,Chicken Curry,Fish Curry (Macha Ko Jhol),Sprouts Salad,weight_gain
Idli,Chapati with Sabzi,Roti (Wheat Flatbread),Sprouts Salad,maintenance
Chiura (Beaten Rice),Vegetable Biryani,Vegetable Soup,Fruit Salad (Phalphul),weight_gain
Chiura (Beaten Rice),Aloo Tama (Potato Bamboo Curry),Vegetable Soup,Protein Bar,maintenance
Muesli,Masoor Dal,Fish Curry (Macha Ko Jhol),Chatpate,weight_gain
Muesli,Vegetable Biryani,Dal Bhat,Protein Bar,muscle_gain
Oatmeal (Jaulo),Mixed Vegetable Curry,Dal Bhat,Chatpate,muscle_gain
Poha (Flattened Rice),Mixed Vegetable Curry,Vegetable Soup,Protein Bar,maintenance
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Chicken Soup,Roasted Corn (Bilaune Makai),weight_loss
Idli,Khichdi,Roti (Wheat Flatbread),Lapsi Candy (Hog Plum),maintenance
Chiura (Beaten Rice),Chicken Curry,Buff Choila,Sprouts Salad,weight_gain
Roti (Wheat Flatbread),Masoor Dal,Mutton Curry,Lapsi Candy (Hog Plum),weight_loss
Cereal (Corn Flakes),Khichdi,Tofu Stir Fry,Yogurt (Dahi),muscle_gain
Poha (Flattened Rice),Chapati with Sabzi,Grilled Chicken Breast,Roasted Corn (Bilaune Makai),weight_gain
Milk Tea (Chiya),Dal Bhat,Saag (Leafy Green Curry),Lapsi Candy (Hog Plum),weight_loss
Scrambled Eggs,Aloo Tama (Potato Bamboo Curry),Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),muscle_gain
Milk Tea (Chiya),Paneer Curry,Vegetable Soup,Roasted Corn (Bilaune Makai),maintenance
Chiura (Beaten Rice),Khichdi,Roti (Wheat Flatbread),Fruit Salad (Phalphul),maintenance
Oatmeal (Jaulo),Mixed Vegetable Curry,Roti (Wheat Flatbread),Roasted Corn (Bilaune Makai),weight_loss
Bara (Black Lentil Pancake),Gundruk,Saag (Leafy Green Curry),Banana (Kera),maintenance
Muesli,Chicken Curry,Brown Rice,Mixed Green Salad,weight_loss
Scrambled Eggs,Chapati with Sabzi,Tofu Stir Fry,Roasted Corn (Bilaune Makai),weight_gain
Idli,Paneer Curry,Dal Bhat,Banana (Kera),muscle_gain
Sel Roti,Vegetable Biryani,Buff Choila,Fruit Salad (Phalphul),weight_loss
Roti (Wheat Flatbread),Vegetable Biryani,Curd Rice,Fruit Salad (Phalphul),weight_gain
Milk Tea (Chiya),Mixed Vegetable Curry,Tofu Stir Fry,Chatpate,muscle_gain
Cereal (Corn Flakes),Dal Bhat,Brown Rice,Fruit Salad (Phalphul),weight_gain
Poha (Flattened Rice),Khichdi,Buff Choila,Apple (Syau),maintenance
Oatmeal (Jaulo),Masoor Dal,Dal Bhat,Banana (Kera),muscle_gain
Oatmeal (Jaulo),Masoor Dal,Brown Rice,Protein Bar,weight_gain
