breakfast,lunch,dinner,snack,nutrition_goal
Cereal (Corn Flakes),Chapati with Sabzi,Tofu Stir Fry,Peanuts (Badaam),weight_loss
Oatmeal (Jaulo),Masoor Dal,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),weight_loss
Sel Roti,Mixed Vegetable Curry,Chicken Soup,Popcorn,maintenance
Oatmeal (Jaulo),Momo (Steamed Dumpling),Curd Rice,Roasted Corn (Bilaune Makai),muscle_gain
Idli,Aloo Tama (Potato Bamboo Curry),Saag (Leafy Green Curry),Fruit Salad (Phalphul),maintenance
Milk Tea (Chiya),Chapati with Sabzi,Dal Bhat,Peanuts (Badaam),muscle_gain
Cereal (Corn Flakes),Khichdi,Saag (Leafy Green Curry),Chatpate,weight_gain
Idli,Paneer Curry,Saag (Leafy Green Curry),Protein Bar,muscle_gain
Milk Tea (Chiya),Paneer Curry,Fish Curry (Macha Ko Jhol),Banana (Kera),muscle_gain
Oatmeal (Jaulo),Momo (Steamed Dumpling),Tofu Stir Fry,Fruit Salad (Phalphul),weight_gain
Sel Roti,Aloo Tama (Potato Bamboo Curry),Grilled Chicken Breast,Peanuts (Badaam),weight_loss
Milk Tea (Chiya),Chapati with Sabzi,Roti (Wheat Flatbread),Apple (Syau),weight_loss
Milk Tea (Chiya),Paneer Curry,Dal Bhat,Apple (Syau),weight_loss
Roti (Wheat Flatbread),Chapati with Sabzi,Dal Bhat,Popcorn,weight_loss
Chiura (Beaten Rice),Paneer Curry,Brown Rice,Yogurt (Dahi),muscle_gain
Roti (Wheat Flatbread),Vegetable Biryani,Saag (Leafy Green Curry),Chatpate,maintenance
Poha (Flattened Rice),Thukpa (Noodle Soup),Roti (Wheat Flatbread),Sprouts Salad,weight_loss
Muesli,Chicken Curry,Saag (Leafy Green Curry),Banana (Kera),weight_gain
Bara (Black Lentil Pancake),Paneer Curry,Brown Rice,Banana (Kera),muscle_gain
Boiled Egg,Thukpa (Noodle Soup),Tofu Stir Fry,Protein Bar,maintenance
Scrambled Eggs,Chicken Curry,Dal Bhat,Yogurt (Dahi),maintenance
Poha (Flattened Rice),Masoor Dal,Buff Choila,Fruit Salad (Phalphul),weight_loss
Bara (Black Lentil Pancake),Thukpa (Noodle Soup),Saag (Leafy Green Curry),Chatpate,weight_loss
Poha (Flattened Rice),Vegetable Biryani,Chicken Soup,Roasted Corn (Bilaune Makai),weight_gain
Poha (Flattened Rice),Khichdi,Grilled Chicken Breast,Protein Bar,weight_loss
Chiura (Beaten Rice),Mixed Vegetable Curry,Brown Rice,Popcorn,maintenance
Boiled Egg,Aloo Tama (Potato Bamboo Curry),Roti (Wheat Flatbread),Roasted Corn (Bilaune Makai),muscle_gain
Cereal (Corn Flakes),Chapati with Sabzi,Vegetable Soup,Peanuts (Badaam),muscle_gain
Oatmeal (Jaulo),Chicken Curry,Saag (Leafy Green Curry),Apple (Syau),weight_loss
Milk Tea (Chiya),Paneer Curry,Brown Rice,Chatpate,weight_loss
Roti (Wheat Flatbread),Aloo Tama (Potato Bamboo Curry),Vegetable Soup,Sprouts Salad,muscle_gain
Sel Roti,Vegetable Biryani,Curd Rice,Yogurt (Dahi),muscle_gain
Bara (Black Lentil Pancake),Thukpa (Noodle Soup),Saag (Leafy Green Curry),Fruit Salad (Phalphul),muscle_gain
Scrambled Eggs,Gundruk,Dal Bhat,Apple (Syau),weight_loss
Poha (Flattened Rice),Chapati with Sabzi,Dal Bhat,Banana (Kera),weight_gain
Poha (Flattened Rice),Paneer Curry,Chicken Soup,Banana (Kera),weight_loss
Roti (Wheat Flatbread),Dal Bhat,Grilled Chicken Breast,Lapsi Candy (Hog Plum),muscle_gain
Oatmeal (Jaulo),Vegetable Biryani,Fish Curry (Macha Ko Jhol),Fruit Salad (Phalphul),maintenance
Oatmeal (Jaulo),Thukpa (Noodle Soup),Dal Bhat,Yogurt (Dahi),maintenance
Boiled Egg,Chicken Curry,Vegetable Soup,Chatpate,weight_gain
Muesli,Mixed Vegetable Curry,Roti (Wheat Flatbread),Lapsi Candy (Hog Plum),weight_gain
Granola,Momo (Steamed Dumpling),Buff Choila,Sprouts Salad,muscle_gain
Sel Roti,Masoor Dal,Dal Bhat,Apple (Syau),weight_gain
Poha (Flattened Rice),Momo (Steamed Dumpling),Buff Choila,Chatpate,muscle_gain
Muesli,Dal Bhat,Roti (Wheat Flatbread),Sprouts Salad,muscle_gain
Roti (Wheat Flatbread),Gundruk,Dal Bhat,Chatpate,weight_gain
Idli,Chicken Curry,Tofu Stir Fry,Fruit Salad (Phalphul),muscle_gain
Bara (Black Lentil Pancake),Gundruk,Mutton Curry,Lapsi Candy (Hog Plum),maintenance
Cereal (Corn Flakes),Mixed Vegetable Curry,Roti (Wheat Flatbread),Peanuts (Badaam),maintenance
Scrambled Eggs,Gundruk,Chicken Soup,Banana (Kera),weight_gain
Milk Tea (Chiya),Momo (Steamed Dumpling),Grilled Chicken Breast,Peanuts (Badaam),muscle_gain
Poha (Flattened Rice),Thukpa (Noodle Soup),Fish Curry (Macha Ko Jhol),Protein Bar,maintenance
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Fish Curry (Macha Ko Jhol),Popcorn,maintenance
Milk Tea (Chiya),Chicken Curry,Vegetable Soup,Peanuts (Badaam),muscle_gain
Boiled Egg,Dal Bhat,Curd Rice,Banana (Kera),muscle_gain
Muesli,Khichdi,Mutton Curry,Apple (Syau),weight_loss
Boiled Egg,Vegetable Biryani,Dal Bhat,Apple (Syau),weight_gain
Idli,Thukpa (Noodle Soup),Roti (Wheat Flatbread),Peanuts (Badaam),weight_gain
Idli,Chapati with Sabzi,Saag (Leafy Green Curry),Chatpate,weight_gain
Poha (Flattened Rice),Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Banana (Kera),weight_loss
Boiled Egg,Mixed Vegetable Curry,Vegetable Soup,Yogurt (Dahi),weight_gain
Bara (Black Lentil Pancake),Chicken Curry,Saag (Leafy Green Curry),Protein Bar,weight_loss
Boiled Egg,Gundruk,Roti (Wheat Flatbread),Mixed Green Salad,maintenance
Cereal (Corn Flakes),Masoor Dal,Dal Bhat,Chatpate,weight_loss
Idli,Aloo Tama (Potato Bamboo Curry),Brown Rice,Peanuts (Badaam),weight_gain
Bara (Black Lentil Pancake),Dal Bhat,Chicken Soup,Popcorn,muscle_gain
Oatmeal (Jaulo),Paneer Curry,Saag (Leafy Green Curry),Mixed Green Salad,weight_gain
Scrambled Eggs,Dal Bhat,Mutton Curry,Mixed Green Salad,weight_gain
Oatmeal (Jaulo),Momo (Steamed Dumpling),Curd Rice,Sprouts Salad,muscle_gain
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Brown Rice,Yogurt (Dahi),maintenance
Cereal (Corn Flakes),Mixed Vegetable Curry,Roti (Wheat Flatbread),Protein Bar,weight_loss
Boiled Egg,Dal Bhat,Buff Choila,Fruit Salad (Phalphul),weight_loss
Oatmeal (Jaulo),Gundruk,Vegetable Soup,Popcorn,maintenance
Scrambled Eggs,Khichdi,Vegetable Soup,Protein Bar,muscle_gain
Oatmeal (Jaulo),Thukpa (Noodle Soup),Brown Rice,Fruit Salad (Phalphul),muscle_gain
Bara (Black Lentil Pancake),Masoor Dal,Buff Choila,Sprouts Salad,muscle_gain
Bara (Black Lentil Pancake),Masoor Dal,Saag (Leafy Green Curry),Roasted Corn (Bilaune Makai),maintenance
Chiura (Beaten Rice),Paneer Curry,Saag (Leafy Green Curry),Chatpate,weight_gain
Milk Tea (Chiya),Vegetable Biryani,Chicken Soup,Apple (Syau),muscle_gain
Cereal (Corn Flakes),Vegetable Biryani,Brown Rice,Yogurt (Dahi),muscle_gain
Sel Roti,Paneer Curry,Chicken Soup,Lapsi Candy (Hog Plum),maintenance
Granola,Vegetable Biryani,Mutton Curry,Yogurt (Dahi),weight_gain
Bara (Black Lentil Pancake),Vegetable Biryani,Dal Bhat,Lapsi Candy (Hog Plum),muscle_gain
Cereal (Corn Flakes),Mixed Vegetable Curry,Dal Bhat,Chatpate,weight_loss
Milk Tea (Chiya),Chapati with Sabzi,Saag (Leafy Green Curry),Fruit Salad (Phalphul),maintenance
Chiura (Beaten Rice),Mixed Vegetable Curry,Mutton Curry,Roasted Corn (Bilaune Makai),muscle_gain
Oatmeal (Jaulo),Vegetable Biryani,Chicken Soup,Mixed Green Salad,weight_gain
Sel Roti,Gundruk,Tofu Stir Fry,Popcorn,weight_gain
Scrambled Eggs,Paneer Curry,Tofu Stir Fry,Fruit Salad (Phalphul),maintenance
Oatmeal (Jaulo),Chapati with Sabzi,Curd Rice,Banana (Kera),maintenance
Cereal (Corn Flakes),Momo (Steamed Dumpling),Buff Choila,Peanuts (Badaam),weight_loss
Muesli,Khichdi,Grilled Chicken Breast,Lapsi Candy (Hog Plum),weight_gain
Granola,Aloo Tama (Potato Bamboo Curry),Buff Choila,Roasted Corn (Bilaune Makai),maintenance
Roti (Wheat Flatbread),Aloo Tama (Potato Bamboo Curry),Tofu Stir Fry,Peanuts (Badaam),weight_gain
Bara (Black Lentil Pancake),Momo (Steamed Dumpling),Tofu Stir Fry,Roasted Corn (Bilaune Makai),weight_loss
Poha (Flattened Rice),Momo (Steamed Dumpling),Mutton Curry,Chatpate,weight_gain
Granola,Momo (Steamed Dumpling),Chicken Soup,Protein Bar,maintenance
Milk Tea (Chiya),Momo (Steamed Dumpling),Roti (Wheat Flatbread),Fruit Salad (Phalphul),weight_gain
Roti (Wheat Flatbread),Thukpa (Noodle Soup),Grilled Chicken Breast,Peanuts (Badaam),muscle_gain
Bara (Black Lentil Pancake),Khichdi,Buff Choila,Mixed Green Salad,maintenance
