food_id,food_name,category,calories,protein,carbohydrates,fat,fiber,serving_size,recommended_goal,image_url
132,Grilled Chicken Breast,Meat,165,31.0,0.0,3.6,0.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Grilled_chicken.jpg/640px-Grilled_chicken.jpg
133,Tuna (Canned),Fish & Seafood,116,26.0,0.0,1.0,0.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Canned_tuna_in_water.jpg/640px-Canned_tuna_in_water.jpg
134,Salmon Fillet,Fish & Seafood,208,20.0,0.0,13.4,0.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Salmon_Slice.jpg/640px-Salmon_Slice.jpg
135,Greek Yogurt,Eggs & Dairy,59,10.0,3.6,0.4,0.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Bowl_of_yogurt.jpg/640px-Bowl_of_yogurt.jpg
136,Low Fat Milk,Eggs & Dairy,35,3.4,4.8,0.2,0.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Milk_glass.jpg/640px-Milk_glass.jpg
137,Whole Wheat Bread,Bread & Roti,247,13.0,41.0,3.4,7.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Whole_wheat_bread.jpg/640px-Whole_wheat_bread.jpg
138,White Bread,Bread & Roti,265,9.0,49.0,3.2,2.7,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Fresh_made_bread_05.jpg/640px-Fresh_made_bread_05.jpg
139,Pasta (Macaroni),Rice & Grains,371,13.0,74.7,1.5,3.2,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Macaroni_and_cheese.jpg/640px-Macaroni_and_cheese.jpg
140,Pizza (Slice),Street Food,266,11.0,33.0,10.4,2.3,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Eq_it-na_pizza-margherita_sep2005_sml.jpg/640px-Eq_it-na_pizza-margherita_sep2005_sml.jpg
141,Burger,Street Food,295,17.0,24.0,14.0,1.5,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/PNG_transparency_demonstration_1.png/640px-PNG_transparency_demonstration_1.png
142,French Fries,Street Food,312,3.4,41.4,15.0,3.8,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Potato-Chips.jpg/640px-Potato-Chips.jpg
143,Sandwich,Street Food,250,10.5,33.5,8.5,3.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Club_sandwich.JPG/640px-Club_sandwich.JPG
144,Idli,Traditional,58,2.7,11.8,0.4,0.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Idli_Sambar.jpg/640px-Idli_Sambar.jpg
145,Dosa,Traditional,165,4.5,30.0,3.5,1.2,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Plain_dosa.jpg/640px-Plain_dosa.jpg
146,Upma,Traditional,150,4.0,28.0,3.5,2.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Upma_in_bowl.jpg/640px-Upma_in_bowl.jpg
147,Poha (Flattened Rice),Traditional,250,4.0,47.5,6.0,1.5,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Poha_dish.jpg/640px-Poha_dish.jpg
148,Cereal (Corn Flakes),Breakfast Foods,357,7.5,84.0,0.9,1.2,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Cornflakes.JPG/640px-Cornflakes.JPG
149,Muesli,Breakfast Foods,370,11.5,65.0,8.5,7.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7b/Muesli_assorment.jpg/640px-Muesli_assorment.jpg
150,Granola,Breakfast Foods,471,10.0,64.0,20.0,6.5,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Granola.jpg/640px-Granola.jpg
151,Protein Bar,Supplements,370,25.0,48.0,8.5,5.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Protein_bar.jpg/640px-Protein_bar.jpg
152,Protein Shake,Supplements,200,30.0,10.0,3.5,1.5,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Protein_shake.jpg/640px-Protein_shake.jpg
153,Energy Drink,Beverages,112,1.0,28.0,0.0,0.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Red_Bull_Energy_Drink.jpg/640px-Red_Bull_Energy_Drink.jpg
154,Orange Juice,Beverages,45,0.7,10.4,0.2,0.2,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Hapus_Mango.jpg/640px-Hapus_Mango.jpg
155,Coconut Water,Beverages,19,0.7,3.7,0.2,1.1,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Coconut_water.jpg/640px-Coconut_water.jpg
156,Sugarcane Juice (Ukhoo Ras),Beverages,78,0.3,19.5,0.1,0.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Sugarcane_juice.jpg/640px-Sugarcane_juice.jpg
157,Coffee (Black),Beverages,1,0.3,0.0,0.0,0.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/A_small_cup_of_coffee.JPG/640px-A_small_cup_of_coffee.JPG
158,Lemon Water,Beverages,11,0.1,3.5,0.0,0.1,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Lemon_water.jpg/640px-Lemon_water.jpg
159,Strawberry,Fruits,32,0.7,7.7,0.3,2.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/PerfectStrawberry.jpg/640px-PerfectStrawberry.jpg
160,Grapes (Angur),Fruits,67,0.6,17.2,0.4,0.9,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Table_grapes_on_white.jpg/640px-Table_grapes_on_white.jpg
161,Kiwi,Fruits,61,1.1,14.7,0.5,3.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Kiwi_-_Rayda.jpg/640px-Kiwi_-_Rayda.jpg
162,Pear (Naspati),Fruits,57,0.4,15.2,0.1,3.1,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Pears.jpg/640px-Pears.jpg
163,Fig (Anjir),Fruits,74,0.75,19.2,0.3,2.9,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Figs.jpg/640px-Figs.jpg
164,Dates (Khurmah),Fruits,277,1.8,74.97,0.2,6.7,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Dates_on_a_palm_frond.jpg/640px-Dates_on_a_palm_frond.jpg
165,Raisins (Kismis),Fruits,299,3.1,79.2,0.5,3.7,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Dried_raisins.jpg/640px-Dried_raisins.jpg
166,Asparagus,Vegetables,20,2.2,3.7,0.1,2.1,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Asparagus_officinalis_0.01.jpg/640px-Asparagus_officinalis_0.01.jpg
167,Bell Pepper (Capsicum),Vegetables,31,1.0,7.3,0.3,2.1,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Bell_pepper_2.jpg/640px-Bell_pepper_2.jpg
168,Mushroom (Chyau),Vegetables,22,3.1,3.3,0.3,1.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Mushroom_-_Fungus.jpg/640px-Mushroom_-_Fungus.jpg
169,Zucchini,Vegetables,17,1.2,3.1,0.3,1.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Zucchini_R.jpg/640px-Zucchini_R.jpg
170,Celery,Vegetables,16,0.7,3.0,0.2,1.6,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Celery_Pascal.jpg/640px-Celery_Pascal.jpg
171,Leek,Vegetables,61,1.5,14.2,0.3,1.8,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Leeks_on_white.jpg/640px-Leeks_on_white.jpg
172,Bottle Gourd (Lauka),Vegetables,14,0.6,3.4,0.0,0.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Lauki.JPG/640px-Lauki.JPG
173,Ridge Gourd (Ghiraula),Vegetables,20,1.2,4.4,0.2,0.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Luffa_acutangula_fruits.jpg/640px-Luffa_acutangula_fruits.jpg
174,Sponge Gourd (Pharsi Chana),Vegetables,18,1.2,3.5,0.2,0.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Luffa_cylindrica.JPG/640px-Luffa_cylindrica.JPG
175,Turnip (Salgam),Vegetables,28,0.9,6.4,0.1,1.8,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Turnip_2622027.jpg/640px-Turnip_2622027.jpg
176,Yam (Tarul),Vegetables,118,1.5,27.9,0.2,4.1,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Yam_Guinea_closeup.jpg/640px-Yam_Guinea_closeup.jpg
177,Colocasia (Karkalo),Vegetables,112,1.5,26.5,0.2,4.1,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Colocasia_esculenta_leaves_and_taro.jpg/640px-Colocasia_esculenta_leaves_and_taro.jpg
178,Fried Egg (Omelette),Eggs & Dairy,154,10.6,0.4,11.7,0.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Scrambled_eggs.jpg/640px-Scrambled_eggs.jpg
179,Curd Rice,Rice & Grains,145,4.0,28.5,2.5,0.5,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Curd_rice.jpg/640px-Curd_rice.jpg
180,Vegetable Biryani,Rice & Grains,240,6.0,42.0,7.0,3.5,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Biryani_at_Shiraz_Golden_Restaurant.jpg/640px-Biryani_at_Shiraz_Golden_Restaurant.jpg
181,Mutton Biryani,Rice & Grains,340,16.0,38.0,14.5,2.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Biryani_at_Shiraz_Golden_Restaurant.jpg/640px-Biryani_at_Shiraz_Golden_Restaurant.jpg
182,Chicken Biryani,Rice & Grains,290,16.0,38.5,9.0,2.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Biryani_at_Shiraz_Golden_Restaurant.jpg/640px-Biryani_at_Shiraz_Golden_Restaurant.jpg
183,Lemon Rice,Rice & Grains,185,3.5,36.5,4.0,1.5,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Banquet_rice.jpg/640px-Banquet_rice.jpg
184,Tomato Rice,Rice & Grains,178,3.5,35.5,3.5,2.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Banquet_rice.jpg/640px-Banquet_rice.jpg
185,Pea Pulao,Rice & Grains,215,5.5,38.0,5.5,3.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Banquet_rice.jpg/640px-Banquet_rice.jpg
186,Khichdi,Dal & Rice,165,6.5,28.0,3.5,3.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Dal_bhat.jpg/640px-Dal_bhat.jpg
187,Chapati with Sabzi,Bread & Roti,220,7.0,35.5,6.0,5.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Chapati.jpg/640px-Chapati.jpg
188,Naan,Bread & Roti,262,8.7,45.4,5.1,1.6,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Naan.jpg/640px-Naan.jpg
189,Tandoori Chicken,Meat,200,25.0,6.0,9.0,0.5,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Tandoori_chicken.jpg/640px-Tandoori_chicken.jpg
190,Kebab,Meat,235,22.5,5.5,14.0,0.5,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Seekh_kebab.jpg/640px-Seekh_kebab.jpg
191,Lamb/Mutton Sekuwa,Meat,285,26.5,2.0,18.5,0.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Mutton_curry.jpg/640px-Mutton_curry.jpg
192,Chicken Sekuwa,Meat,215,28.5,2.5,10.5,0.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Fried_chicken.jpg/640px-Fried_chicken.jpg
193,Buff Choila,Meat,250,28.0,3.5,14.0,0.5,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Raw_meat.jpg/640px-Raw_meat.jpg
194,Egg Bhurji,Eggs & Dairy,175,10.5,3.5,12.5,0.5,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Scrambled_eggs.jpg/640px-Scrambled_eggs.jpg
195,Masala Omelette,Eggs & Dairy,165,10.0,3.5,12.0,1.0,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Scrambled_eggs.jpg/640px-Scrambled_eggs.jpg
196,Rabadi (Thickened Milk),Eggs & Dairy,155,6.0,22.5,5.5,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Milk_glass.jpg/640px-Milk_glass.jpg
197,Shrikhand,Eggs & Dairy,225,8.5,37.5,6.0,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Bowl_of_yogurt.jpg/640px-Bowl_of_yogurt.jpg
198,Peda (Milk Sweet),Sweets,365,8.5,62.5,10.5,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Mathura_ke_pede.jpg/640px-Mathura_ke_pede.jpg
199,Barfi (Milk Fudge),Sweets,393,9.5,67.5,11.5,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Barfi_sweets.jpg/640px-Barfi_sweets.jpg
200,Gajar Halwa (Carrot Pudding),Sweets,285,5.5,42.5,12.0,2.5,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Halwa.jpg/640px-Halwa.jpg
201,Rosogolla,Sweets,125,3.5,25.5,1.5,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Rosogolla_sweet.jpg/640px-Rosogolla_sweet.jpg
202,Gulab Jamun,Sweets,175,3.5,30.5,5.5,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Gulab_jamun_%28GJ%29.jpg/640px-Gulab_jamun_%28GJ%29.jpg
203,Rasgulla,Sweets,125,3.5,25.0,1.5,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Rosogolla_sweet.jpg/640px-Rosogolla_sweet.jpg
204,Kulfi (Ice Cream),Sweets,196,5.0,32.5,6.5,0.0,100g,weight_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Kulfi_ice_cream.jpg/640px-Kulfi_ice_cream.jpg
205,Mango Lassi,Beverages,128,3.5,24.5,2.5,0.5,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Lassi.jpg/640px-Lassi.jpg
206,Rose Sherbet,Beverages,110,0.2,27.5,0.0,0.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Rose_Sharbat.jpg/640px-Rose_Sharbat.jpg
207,Nimbu Pani (Lemonade),Beverages,25,0.1,6.5,0.0,0.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Lemon_water.jpg/640px-Lemon_water.jpg
208,Turmeric Milk (Haldi Doodh),Beverages,75,3.5,7.5,3.0,0.0,100g,maintenance,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Milk_glass.jpg/640px-Milk_glass.jpg
209,Almond Milk,Beverages,39,1.5,3.5,2.5,0.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Milk_glass.jpg/640px-Milk_glass.jpg
210,Sprouts Salad,Salads,115,9.0,18.5,0.8,8.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Sprouts.jpg/640px-Sprouts.jpg
211,Mixed Green Salad,Salads,35,2.5,6.5,0.5,3.0,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Mixed_salad_greens.jpg/640px-Mixed_salad_greens.jpg
212,Cucumber Tomato Salad,Salads,28,1.5,5.5,0.3,1.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Cucumber_salad.jpg/640px-Cucumber_salad.jpg
213,Fruit Salad (Phalphul),Salads,60,1.0,15.0,0.3,2.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Fruit_salad.jpg/640px-Fruit_salad.jpg
214,Chickpea Salad (Chana Chat),Salads,155,8.5,25.5,2.5,7.5,100g,weight_loss,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Chickpeas_%28garbanzo_beans%29.jpg/640px-Chickpeas_%28garbanzo_beans%29.jpg
215,Paleo Mix (Nuts & Dry Fruits),Snacks,490,12.0,42.0,32.5,7.5,100g,muscle_gain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Peanuts_in_shells.jpg/640px-Peanuts_in_shells.jpg
